NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE
69,11-0654-50L.S202301,2023-01-11 00:54,  14.608,  -90.018,  11.3,  2.6,     ,  2.6,     ,   7,  0.5, 132,   3.1,   2.7,   4.6, L  ,-,      ,      ,     
70,11-0730-53R.S202301,2023-01-11 01:30,  14.482,  -93.017,  11.2,  3.3,     ,  3.3,     ,   8,  0.6, 268,  11.7,   9.2,  18.9, R  ,-,      ,      ,     
71,11-0754-01L.S202301,2023-01-11 01:54,  14.605,  -89.978,  12.1,  2.4,     ,  2.4,     ,   5,  0.3, 146,   3.1,   2.8,   4.2, L  ,-,      ,      ,     
72,11-1026-17R.S202301,2023-01-11 04:26,  13.212,  -90.042,   4.7,  3.2,     ,  3.2,     ,   7,  0.3, 275,  15.0,   5.4,  16.8, R  ,-,      ,      ,     
73,11-1814-17L.S202301,2023-01-11 12:14,  14.411,  -90.559,   0.1,  3.0,  1.3,  3.0,     ,   5,  0.4, 184,   7.9,  10.9,   6.0, L  ,-,      ,      ,     
74,12-0536-39L.S202301,2023-01-11 23:36,  14.536,  -90.581,   0.8,  2.5,     ,  2.5,     ,   5,  0.3, 238,   7.1,   4.0,   4.5, L  ,2,      ,      ,     
75,12-0653-27L.S202301,2023-01-12 00:53,  13.623,  -91.869,  15.9,  3.8,     ,  3.8,     ,  21,  0.7, 269,   9.3,  10.8,  13.6, L  ,-,      ,      ,     
76,12-0653-32L.S202301,2023-01-12 00:53,  13.842,  -91.751,   9.0,  2.7,  2.7,     ,     ,  17, 0.59, 265,   4.4,   8.3,  13.4, L  ,-,      ,      ,     
77,12-0656-59L.S202301,2023-01-12 00:56,  13.468,  -92.114,   0.0,  3.4,  3.4,     ,     ,  22, 0.46, 279,   5.2,   8.2,  0.0 , L  ,-,      ,      ,     
78,12-0834-21R.S202301,2023-01-12 02:34,  13.941,  -89.438,   6.1,  2.5,     ,  2.5,     ,   5,  0.5, 173,   2.7,   4.7,  10.4, R  ,-,      ,      ,     
79,12-1003-16R.S202301,2023-01-12 04:03,  15.100,  -90.887,   1.0,  3.1,     ,  3.1,     ,  11,  0.4, 256,  24.4,  10.4,  17.8, R  ,-,      ,      ,     
80,12-1003-17L.S202301,2023-01-12 04:03,  14.833,  -90.772,   0.0,  3.3,  3.3,     ,     ,  12, 0.90, 145,   2.8,   2.5,  0.0 , L  ,-,      ,      ,     
81,12-1110-48L.S202301,2023-01-12 05:10,  14.047,  -89.965,   6.0,  3.4,     ,  3.4,     ,  21,  0.9, 161,   8.1,   3.9,  12.6, L  ,-,      ,      ,     
82,12-1110-49L.S202301,2023-01-12 05:10,  14.027,  -89.990,   1.8,  2.9,  2.9,     ,     ,  18, 0.78, 106,   1.9,   1.4,  2.2 , L  ,-,      ,      ,     
83,12-1938-29R.S202301,2023-01-12 13:38,  14.037,  -89.970,   8.4,  3.2,     ,  3.2,     ,  12,  0.5, 167,   2.9,   2.4,   5.0, R  ,-,      ,      ,     
84,13-0230-57L.S202301,2023-01-12 20:30,  13.956,  -91.497,  23.6,  4.5,  4.5,     ,     ,  48, 0.76, 215,   3.2,   2.6,  4.3 , L  ,-,      ,      ,     
85,13-0253-37L.S202301,2023-01-12 20:53,  14.040,  -89.985,   7.4,  2.7,     ,  2.7,     ,   7,  0.7, 186,   5.3,   5.4,  10.9, L  ,-,      ,      ,     
86,13-0537-33L.S202301,2023-01-12 23:37,  14.011,  -89.974,   9.0,  3.1,     ,  3.1,     ,   5,  0.3, 195,   6.5,   3.8,   9.8, L  ,-,      ,      ,     
87,13-0548-32L.S202301,2023-01-12 23:48,  12.906,  -90.992,   8.2,  4.1,     ,  4.1,     ,  13,  0.7, 276,  12.2,   6.8,  12.7, L  ,-,      ,      ,     
88,13-0552-58R.S202301,2023-01-12 23:52,  13.699,  -91.045,  13.0,  3.6,     ,  3.6,     ,   7,  0.2, 288,  11.5,   9.5,  26.3, R  ,-,      ,      ,     
89,13-0725-25L.S202301,2023-01-13 01:25,  13.425,  -90.107,  20.1,  2.5,  2.5,     ,     ,   7, 0.86, 255,   5.3,   4.3,  6.1 , L  ,-,      ,      ,     
90,13-0728-45L.S202301,2023-01-13 01:28,  14.005,  -89.998,   6.1,  3.4,     ,  3.4,     ,   3,  0.5, 204,   4.9,   4.8,  12.0, L  ,-,      ,      ,     
91,13-1208-59L.S202301,2023-01-13 06:08,  14.595,  -90.496,   0.0,  2.2,     ,  2.2,     ,   3,  0.1, 280,   1.8,   1.1,   0.9, L  ,-,      ,      ,     
92,13-2223-06L.S202301,2023-01-13 16:23,  15.538,  -88.601,   0.1,  3.5,  3.5,  3.5,     ,  12,  0.6, 258,   7.5,  16.4,  12.0, L  ,1,      ,      ,     
93,13-2223-07L.S202301,2023-01-13 16:23,  15.629,  -88.460,   4.1,  3.5,  3.5,     ,     ,  12, 3.07, 157,   3.2,   3.1,  3.0 , L  ,-,      ,      ,     
94,14-0405-16L.S202301,2023-01-13 22:05,  13.802,  -92.207,  19.6,  3.9,     ,  3.9,     ,  11,  0.3, 291,   5.0,   7.7,   5.1, L  ,-,      ,      ,     
95,14-0405-20L.S202301,2023-01-13 22:05,  13.969,  -92.117,  10.2,  3.0,  3.0,     ,     ,  14, 0.36, 285,  23.8,  22.1,  24.1, L  ,-,      ,      ,     
96,14-1454-09L.S202301,2023-01-14 08:54,  15.537,  -91.528,  25.0,  3.5,  3.5,     ,     ,   6, 0.62, 261,  15.1,  13.4,   0.0, L  ,-,      ,      ,     
97,15-0237-57L.S202301,2023-01-14 20:37,  16.194,  -87.438,   5.4,  4.4,     ,  4.4,     ,  27,  0.9, 281,   9.6,  21.7,  18.9, L  ,1,      ,      ,     
98,15-0238-01L.S202301,2023-01-14 20:38,  16.064,  -87.561,   0.0,  4.9,  4.9,     ,     ,  16, 0.94, 251,   4.0,   3.8,  0.0 , L  ,-,      ,      ,     
99,15-0606-41L.S202301,2023-01-15 00:06,  16.002,  -91.426,  13.1,  3.7,     ,  3.7,     ,   9,  0.6, 158,   4.6,   2.7,  14.4, L  ,-,      ,      ,     
100,15-0643-12L.S202301,2023-01-15 00:43,  15.502,  -90.706,   6.1,  3.6,     ,  3.6,     ,   7,  0.8, 188,  11.1,   4.0,  20.4, L  ,-,      ,      ,     
101,15-0647-24L.S202301,2023-01-15 00:47,  15.269,  -90.142,  25.0,  3.8,  3.8,     ,     ,   6, 0.94, 214,  20.1,  15.8,   0.0, L  ,-,      ,      ,     
102,15-1438-46L.S202301,2023-01-15 08:38,  13.354,  -92.374,  18.0,  4.0,     ,  4.0,     ,  18,  0.6, 294,  11.9,  22.1,  19.7, L  ,-,      ,      ,     
103,15-1534-27L.S202301,2023-01-15 09:34,  13.266,  -90.114,  17.4,  2.9,  2.9,     ,     ,   9, 0.41, 284,   5.0,   4.9,  7.2 , L  ,-,      ,      ,     
104,15-2307-52R.S202301,2023-01-15 17:07,  14.064,  -89.819,   0.3,  5.2,  5.2,  4.5,     ,  60,  1.0, 106,   4.3,   3.2,   6.3, R  ,2,      ,      ,     
105,15-2307-54L.S202301,2023-01-15 17:07,  14.073,  -89.796,   0.0,  5.2,  5.2,     ,     ,  62, 2.27, 61 ,  1.0 ,  1.0 , 0.0  , L  ,-,      ,      ,     
106,15-2309-56L.S202301,2023-01-15 17:09,  14.072,  -89.769,   1.1,  2.2,     ,  2.2,     ,   5,  0.5, 190,   2.4,   9.7,   8.3, L  ,-,      ,      ,     
107,15-2311-14L.S202301,2023-01-15 17:11,  14.059,  -89.825,  10.2,  2.3,     ,  2.3,     ,   5,  0.7, 189,   4.8,   8.8,   9.3, L  ,-,      ,      ,     
108,15-2318-07L.S202301,2023-01-15 17:18,  14.086,  -89.816,   3.8,  2.5,     ,  2.5,     ,  14,  0.8, 116,   4.6,   3.7,   9.9, L  ,-,      ,      ,     
109,15-2318-08L.S202301,2023-01-15 17:18,  14.063,  -89.836,   1.1,  2.9,  2.9,     ,     ,  13, 0.45, 83 ,  2.0 ,  2.9 , 3.6  , L  ,-,      ,      ,     
