NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE,clasificación
1460,16-1156-08L.S202302,2023-02-16 05:56,14.01,-89.8,8.0,2.3,  2.3,     ,     ,7,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1461,16-1202-42L.S202302,2023-02-16 06:02,13.03,-91.5,15.0,5.3,  5.3,     ,     ,86,1.16,    ,      ,      ,      , L  ,2,      ,      ,     ,cortical
1462,16-1428-34L.S202302,2023-02-16 08:28,14.1,-89.88,2.0,2.8,  2.8,     ,     ,20,0.48,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1463,16-1531-51L.S202302,2023-02-16 09:31,14.804,-89.149,6.1,4.3,     ,  4.3,     ,11,0.7,  71,   2.9,   3.0,   8.6, L  ,-,      ,      ,     ,cortical
1464,16-1548-06L.S202302,2023-02-16 09:48,13.61,-91.69,46.0,3.9,  3.9,     ,     ,33,0.48,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1465,16-1848-10L.S202302,2023-02-16 12:48,13.99,-91.66,27.0,2.8,  2.8,     ,     ,16,0.26,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1466,16-2146-57L.S202302,2023-02-16 15:46,14.09,-89.86,2.0,2.0,  2.0,     ,     ,13,0.34,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1467,16-2210-28L.S202302,2023-02-16 16:10,15.27,-93.0,96.0,4.0,  4.0,     ,     ,31,0.37,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción intraplaca
1468,16-2230-56L.S202302,2023-02-16 16:30,14.06,-92.59,1.0,4.3,  4.3,     ,     ,38,0.87,    ,      ,      ,      , L  ,0,      ,      ,     ,cortical
1469,17-0320-13L.S202302,2023-02-16 21:20,12.94,-89.4,11.0,2.9,  2.9,     ,     ,15,0.55,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1470,17-0329-33L.S202302,2023-02-16 21:29,14.07,-89.85,6.0,1.6,  1.6,     ,     ,10,0.07,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1471,17-0429-39L.S202302,2023-02-16 22:29,14.01,-89.79,1.0,2.1,  2.1,     ,     ,14,1.01,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1472,17-0446-27L.S202302,2023-02-16 22:46,14.085,-89.905,6.8,2.6,     ,  2.6,     ,5,1.1, 259,   4.7,  11.9,  34.0, L  ,-,      ,      ,     ,cortical
1473,17-0453-09L.S202302,2023-02-16 22:53,14.05,-89.89,5.0,1.5,  1.5,     ,     ,6,0.17,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1474,17-0502-07L.S202302,2023-02-16 23:02,14.07,-89.84,6.0,1.8,  1.8,     ,     ,10,0.19,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1475,17-0506-47L.S202302,2023-02-16 23:06,14.07,-89.83,7.0,1.8,  1.8,     ,     ,11,0.36,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1476,17-0511-54L.S202302,2023-02-16 23:11,14.063,-89.747,11.3,2.3,  2.3,     ,     ,5,1.5, 139,  10.2,  19.3,  53.2, L  ,-,      ,      ,     ,cortical
1477,17-0513-56L.S202302,2023-02-16 23:13,14.06,-89.83,7.0,1.4,  1.4,     ,     ,8,0.2,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1478,17-0526-59L.S202302,2023-02-16 23:26,13.29,-90.27,9.0,2.6,  2.6,     ,     ,19,0.52,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1479,17-0539-39L.S202302,2023-02-16 23:39,14.18,-92.0,39.0,3.2,  3.2,     ,     ,29,0.6,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1480,17-0559-43L.S202302,2023-02-17 00:03,14.078,-89.877,12.6,1.9,  1.9,     ,     ,4,0.0, 144,   4.4,   7.5,  13.7, L  ,-,      ,      ,     ,cortical
1481,17-0603-45L.S202302,2023-02-17 00:03,14.09,-89.889,5.0,4.5,     ,  4.5,     ,6,0.3, 211,   1.6,   3.2,   1.5, L  ,-,      ,      ,     ,cortical
