NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE,clasificación
1351,09-0912-14L.S202302,2023-02-09 03:12,13.682,-92.137,11.4,3.9,     ,  3.9,     ,19,0.9, 292,  13.8,  17.4,  20.4, L  ,-,      ,      ,     ,cortical
1352,09-0950-51L.S202302,2023-02-09 03:50,13.4,-90.5,16.0,3.6,  3.6,     ,     ,28,0.27,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1353,09-1141-45L.S202302,2023-02-09 05:41,13.03,-91.31,13.0,3.3,  3.3,     ,     ,15,0.41,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1354,09-1211-48L.S202302,2023-02-09 06:11,14.06,-89.87,4.0,2.2,  2.2,     ,     ,12,0.11,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1355,09-1646-31L.S202302,2023-02-09 10:46,12.654,-88.593,16.8,3.7,  3.7,     ,     ,16,1.07, 223,   3.8,   2.0,  6.8 , L  ,-,      ,      ,     ,cortical
1356,09-1646-32R.S202302,2023-02-09 10:46,12.561,-88.631,33.5,3.9,     ,  3.9,     ,15,0.6, 229,   9.8,   4.1,  15.2, R  ,-,      ,      ,     ,subducción interfase
1357,09-1943-48R.S202302,2023-02-09 13:43,11.797,-87.791,15.2,4.4,     ,  4.4,     ,16,0.6, 231,   9.9,   4.3,   9.3, R  ,-,      ,      ,     ,cortical
1358,09-1943-49L.S202302,2023-02-09 13:43,11.604,-87.881,30.1,4.5,  4.5,     ,     ,25,1.53, 221,   5.0,   1.9,  19.4, L  ,-,      ,      ,     ,subducción interfase
1359,10-0336-57L.S202302,2023-02-09 21:36,14.04,-89.93,2.0,2.0,  2.0,     ,     ,14,0.86,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1360,10-0445-16L.S202302,2023-02-09 22:45,13.22,-89.79,17.0,3.0,  3.0,     ,     ,11,1.25,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1361,10-1121-04L.S202302,2023-02-10 05:21,13.42,-90.52,22.0,3.6,  3.6,     ,     ,19,0.73,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1362,10-1541-28L.S202302,2023-02-10 09:41,14.07,-91.59,38.0,4.0,  4.0,     ,     ,27,0.48,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1363,10-1740-13L.S202302,2023-02-10 11:40,14.1,-91.54,38.0,2.9,  2.9,     ,     ,16,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1364,10-1831-23L.S202302,2023-02-10 12:31,16.32,-87.34,0.0,4.4,  4.4,     ,     ,12,2.31,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1365,10-1831-27L.S202302,2023-02-10 12:31,16.028,-87.52,10.0,4.3,  4.3,     ,     ,6,0.92, 239,   5.5,   4.7,  0.0 , L  ,-,      ,      ,     ,cortical
1366,10-2321-15L.S202302,2023-02-10 17:21,14.93,-91.65,88.0,3.3,  3.3,     ,     ,33,0.61,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción intraplaca
1367,11-0344-15L.S202302,2023-02-10 21:44,14.1,-89.72,7.0,1.9,  1.9,     ,     ,9,0.18,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1368,11-0435-57L.S202302,2023-02-10 22:35,14.01,-89.82,3.0,1.6,  1.6,     ,     ,7,0.16,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1369,11-0721-50L.S202302,2023-02-11 01:21,14.1,-89.82,1.0,2.7,  2.7,     ,     ,9,0.23,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1370,11-0947-50L.S202302,2023-02-11 03:47,14.07,-89.8,1.0,2.6,  2.6,     ,     ,11,0.41,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1371,11-1318-54L.S202302,2023-02-11 07:18,14.07,-89.84,3.0,3.1,  3.1,     ,     ,23,0.22,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1372,11-1318-55L.S202302,2023-02-11 07:18,14.074,-89.841,3.4,3.3,  3.3,     ,     ,13,0.22, 78 ,  1.6 ,  1.6 , 2.1  , L  ,-,      ,      ,     ,cortical
1373,11-1433-23L.S202302,2023-02-11 08:33,14.08,-89.84,4.0,2.3,  2.3,     ,     ,4,0.0,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1374,11-1433-24L.S202302,2023-02-11 08:33,14.081,-89.839,3.7,1.9,  1.9,     ,     ,3,0.0, 227,  18.3,  18.2,  20.0, L  ,-,      ,      ,     ,cortical
1375,11-1614-16L.S202302,2023-02-11 10:14,14.07,-89.85,5.0,1.9,  1.9,     ,     ,8,0.08,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1376,11-1616-38L.S202302,2023-02-11 10:16,14.07,-89.85,5.0,2.1,  2.1,     ,     ,12,0.15,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1377,11-2214-38L.S202302,2023-02-11 16:14,14.12,-89.8,3.0,2.0,  2.0,     ,     ,8,0.38,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1378,11-2251-35L.S202302,2023-02-11 16:51,14.06,-89.83,6.0,2.2,  2.2,     ,     ,6,0.12,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1379,11-2312-39L.S202302,2023-02-11 17:12,13.13,-90.11,3.0,3.5,  3.5,     ,     ,21,0.75,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1380,12-0120-58L.S202302,2023-02-11 19:20,14.15,-90.69,86.0,3.3,  3.3,     ,     ,25,0.65,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción intraplaca
1381,12-0245-56L.S202302,2023-02-11 20:45,13.77,-89.671,5.0,2.5,  2.5,     ,     ,6,0.83, 188,   8.8,   4.8,  0.0 , L  ,-,      ,      ,     ,cortical
1382,12-0309-24L.S202302,2023-02-11 21:09,14.04,-89.85,4.0,1.6,  1.6,     ,     ,6,0.13,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1383,12-0351-35L.S202302,2023-02-11 21:51,14.068,-89.871,3.5,1.6,  1.6,     ,     ,4,0.2, 212,   3.5,  10.6,   4.7, L  ,-,      ,      ,     ,cortical
1384,12-0441-41L.S202302,2023-02-11 22:41,13.14,-91.61,85.0,4.0,  4.0,     ,     ,31,0.42,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción intraplaca
1385,12-0449-45L.S202302,2023-02-11 22:49,14.31,-93.42,14.0,4.3,  4.3,     ,     ,31,0.43,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1386,12-0631-51L.S202302,2023-02-12 00:31,14.97,-93.11,36.0,3.2,  3.2,     ,     ,21,0.57,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1387,12-0732-22L.S202302,2023-02-12 01:32,14.09,-89.87,3.0,2.6,  2.6,     ,     ,12,0.37,    ,      ,      ,      , L  ,0,      ,      ,     ,cortical
1388,12-0921-05L.S202302,2023-02-12 03:21,14.0,-91.58,39.0,3.1,  3.1,     ,     ,33,0.73,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1389,12-1030-37L.S202302,2023-02-12 04:30,14.91,-87.29,1.0,4.5,  4.5,     ,     ,33,1.34,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1390,12-1116-35L.S202302,2023-02-12 05:16,14.07,-89.83,4.0,2.4,  2.4,     ,     ,9,0.12,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1391,12-1207-12L.S202302,2023-02-12 06:07,14.04,-89.9,4.0,1.8,  1.8,     ,     ,8,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1392,12-1356-55L.S202302,2023-02-12 07:56,15.951,-89.399,0.0,3.7,  3.7,     ,     ,10,0.85, 132,   1.7,   2.4,  0.0 , L  ,-,      ,      ,     ,cortical
1393,12-1750-50L.S202302,2023-02-12 11:50,14.1,-89.87,2.0,3.2,  3.2,     ,     ,18,0.18,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1394,12-1819-09L.S202302,2023-02-12 12:19,14.1,-89.87,2.0,2.5,  2.5,     ,     ,12,0.35,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1395,12-1846-22L.S202302,2023-02-12 12:46,14.092,-89.869,3.6,2.7,  2.7,     ,     ,8,0.36, 102,   2.1,   2.5,  4.3 , L  ,-,      ,      ,     ,cortical
1396,12-1852-21L.S202302,2023-02-12 12:52,14.09,-89.88,1.0,3.2,  3.2,     ,     ,20,0.31,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1397,12-1921-19L.S202302,2023-02-12 13:21,14.07,-89.84,3.0,1.8,  1.8,     ,     ,6,0.03,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1398,12-2008-10L.S202302,2023-02-12 14:08,14.06,-89.86,1.0,2.1,  2.1,     ,     ,10,0.37,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1399,12-2132-48L.S202302,2023-02-12 15:32,14.07,-89.85,5.0,2.4,  2.4,     ,     ,7,0.1,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1400,12-2240-57L.S202302,2023-02-12 16:40,14.078,-89.819,3.5,2.1,     ,  2.1,     ,4,0.1, 124,   0.9,   1.7,   6.9, L  ,-,      ,      ,     ,cortical
1401,13-0159-49L.S202302,2023-02-12 19:59,14.1,-89.85,4.0,2.4,  2.4,     ,     ,11,0.5,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1402,13-0456-23L.S202302,2023-02-12 22:56,14.08,-89.79,7.0,1.9,  1.9,     ,     ,7,0.13,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1403,13-0834-34L.S202302,2023-02-13 02:34,14.08,-89.72,2.0,1.8,  1.8,     ,     ,10,0.11,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1404,13-1109-12L.S202302,2023-02-13 05:09,14.09,-89.79,4.0,2.1,  2.1,     ,     ,9,0.77,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1405,13-1112-05L.S202302,2023-02-13 05:12,14.07,-89.82,2.0,2.2,  2.2,     ,     ,10,0.15,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1406,13-1621-54L.S202302,2023-02-13 10:21,13.68,-91.75,48.0,3.0,  3.0,     ,     ,15,0.42,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1407,13-1948-43L.S202302,2023-02-13 13:48,14.082,-89.826,10.5,3.5,  3.5,  3.6,     ,13,0.5, 109,   2.2,   2.3,   2.3, L  ,0,      ,      ,     ,cortical
1408,13-1948-44L.S202302,2023-02-13 13:48,14.07,-89.826,3.8,2.7,  2.7,     ,     ,13,0.31, 126,   1.5,   1.6,  1.7 , L  ,2,      ,      ,     ,cortical
1409,13-2210-04L.S202302,2023-02-13 16:10,14.98,-91.89,3.0,2.5,  2.5,     ,     ,10,0.4,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1410,13-2210-10L.S202302,2023-02-13 16:10,14.886,-92.114,26.1,2.9,  2.9,     ,     ,8,0.22, 256,  51.0,  94.5, 172.6, L  ,-,      ,      ,     ,subducción interfase
1411,14-0026-23L.S202302,2023-02-13 18:26,14.72,-92.15,89.0,3.8,  3.8,     ,     ,17,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción intraplaca
1412,14-0543-26L.S202302,2023-02-13 23:43,14.07,-89.9,0.0,2.0,  2.0,     ,     ,14,0.39,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1413,14-0555-56L.S202302,2023-02-13 23:55,14.07,-89.84,5.0,2.0,  2.0,     ,     ,11,0.16,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1414,14-0613-20L.S202302,2023-02-14 00:13,14.07,-89.83,3.0,2.2,  2.2,     ,     ,13,0.13,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1415,14-0644-54L.S202302,2023-02-14 00:44,14.09,-89.85,8.0,2.0,  2.0,     ,     ,12,0.42,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1416,14-0654-51L.S202302,2023-02-14 00:54,14.06,-89.82,4.0,1.8,  1.8,     ,     ,7,0.11,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1417,14-0705-09L.S202302,2023-02-14 01:05,13.7,-90.69,12.0,2.8,  2.8,     ,     ,8,0.26,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1418,14-0951-48L.S202302,2023-02-14 03:51,14.67,-92.94,18.0,3.4,  3.4,     ,     ,18,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1419,14-1105-49L.S202302,2023-02-14 05:05,14.05,-89.81,2.0,1.8,  1.8,     ,     ,9,0.18,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1420,14-1238-54L.S202302,2023-02-14 06:38,13.71,-91.48,10.0,3.0,  3.0,     ,     ,17,0.4,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1421,14-1422-02L.S202302,2023-02-14 08:22,14.101,-89.855,5.2,2.3,     ,  2.3,     ,7,0.6,  67,   3.2,   3.3,   3.2, L  ,-,      ,      ,     ,cortical
1422,15-0016-01L.S202302,2023-02-14 18:16,15.13,-91.062,0.0,3.7,  3.7,     ,     ,8,1.13, 344,  10.4,   9.3,   0.0, L  ,-,      ,      ,     ,cortical
1423,15-0220-58L.S202302,2023-02-14 20:20,14.22,-91.47,16.0,3.1,  3.1,     ,     ,19,0.22,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1424,15-0442-16L.S202302,2023-02-14 22:42,14.1,-89.87,6.0,2.1,  2.1,     ,     ,11,0.33,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1425,15-0510-46L.S202302,2023-02-14 23:10,14.07,-89.83,5.0,1.7,  1.7,     ,     ,8,0.29,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1426,15-0641-43L.S202302,2023-02-15 00:41,15.22,-92.18,18.0,3.0,  3.0,     ,     ,17,0.35,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1427,15-0801-42L.S202302,2023-02-15 02:01,14.98,-89.47,0.0,2.5,  2.5,     ,     ,18,0.51,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1428,15-0910-52L.S202302,2023-02-15 03:10,14.23,-90.35,47.0,2.3,  2.3,     ,     ,13,0.45,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1429,15-1054-13L.S202302,2023-02-15 04:54,13.0,-90.02,25.0,4.7,  4.7,     ,     ,7,0.79,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1430,15-1104-22L.S202302,2023-02-15 05:04,14.08,-89.86,2.0,1.9,  1.9,     ,     ,11,0.4,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1431,15-1117-26L.S202302,2023-02-15 05:17,14.06,-89.85,1.0,1.9,  1.9,     ,     ,16,0.37,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1432,15-1236-11L.S202302,2023-02-15 06:36,14.09,-89.88,3.0,2.0,  2.0,     ,     ,17,0.36,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1433,15-1236-12L.S202302,2023-02-15 06:36,14.092,-89.88,2.7,1.9,  1.9,     ,     ,10,0.36, 141,   2.2,   2.0,  3.0 , L  ,-,      ,      ,     ,cortical
1434,15-1358-56L.S202302,2023-02-15 07:58,14.0,-91.79,10.0,2.2,  2.2,     ,     ,11,0.17,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1435,15-1538-02L.S202302,2023-02-15 09:38,14.09,-89.88,7.0,2.4,  2.4,     ,     ,8,0.1,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1436,15-1711-07L.S202302,2023-02-15 11:11,14.729,-91.377,83.9,1.8,  1.8,     ,     ,7,0.52, 208,  19.5,  12.7,  15.9, L  ,-,      ,      ,     ,subducción intraplaca
1437,15-1734-59L.S202302,2023-02-15 11:34,13.86,-91.68,21.0,2.9,  2.9,     ,     ,14,0.33,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1438,15-1807-06L.S202302,2023-02-15 12:07,13.99,-89.78,6.0,2.4,  2.4,     ,     ,8,0.32,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1439,15-1831-09L.S202302,2023-02-15 12:31,14.43,-90.63,10.0,1.8,  1.8,     ,     ,7,0.1,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1440,15-1835-21L.S202302,2023-02-15 12:35,13.97,-91.6,23.0,2.8,  2.8,     ,     ,16,0.24,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1441,15-1850-18L.S202302,2023-02-15 12:50,14.08,-89.89,0.0,2.4,  2.4,     ,     ,7,0.75,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1442,15-1852-01L.S202302,2023-02-15 12:52,14.05,-89.84,4.0,1.9,  1.9,     ,     ,6,0.01,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1443,15-1948-05L.S202302,2023-02-15 13:48,14.07,-89.85,5.0,2.0,  2.0,     ,     ,8,0.08,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1444,15-2038-45L.S202302,2023-02-15 14:38,13.88,-91.39,31.0,3.1,  3.1,     ,     ,0,0.28,    ,      ,      ,      , L  ,-,      ,      ,     ,subducción interfase
1445,15-2057-33L.S202302,2023-02-15 14:57,13.39,-90.14,0.0,3.0,  3.0,     ,     ,14,0.25,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1446,15-2258-15L.S202302,2023-02-15 16:58,13.31,-90.33,15.0,4.6,  4.6,     ,     ,60,0.65,    ,      ,      ,      , L  ,0,      ,      ,     ,cortical
1447,15-2336-56L.S202302,2023-02-15 17:36,13.29,-90.31,5.0,3.7,  3.7,     ,     ,27,0.33,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1448,16-0210-03L.S202302,2023-02-15 20:10,14.09,-89.86,4.0,1.8,  1.8,     ,     ,9,0.13,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1449,16-0243-54L.S202302,2023-02-15 20:43,14.51,-90.26,3.0,1.7,  1.7,     ,     ,13,0.27,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1450,16-0327-29L.S202302,2023-02-15 21:27,14.09,-89.84,1.0,1.8,  1.8,     ,     ,11,0.17,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1451,16-0335-01L.S202302,2023-02-15 21:35,14.06,-89.85,5.0,1.9,  1.9,     ,     ,7,0.06,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1452,16-0459-15L.S202302,2023-02-15 22:59,14.06,-89.87,4.0,1.8,  1.8,     ,     ,10,0.12,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1453,16-0656-17L.S202302,2023-02-16 00:56,13.27,-90.24,15.0,3.0,  3.0,     ,     ,18,0.52,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1454,16-0710-51L.S202302,2023-02-16 01:10,14.142,-89.843,1.4,1.5,  1.5,     ,     ,4,0.9, 255,  21.6,  11.9, 165.8, L  ,-,      ,      ,     ,cortical
1455,16-0807-11L.S202302,2023-02-16 02:07,15.62,-89.72,0.0,2.4,  2.4,     ,     ,14,1.06,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1456,16-0923-53L.S202302,2023-02-16 03:23,16.16,-94.65,1.0,2.5,  2.5,     ,     ,7,0.49,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1457,16-1036-41L.S202302,2023-02-16 04:36,14.894,-87.339,7.3,3.7,     ,  3.7,     ,13,1.1, 188,   8.5,   9.0,  16.5, L  ,-,      ,      ,     ,cortical
1458,16-1140-16L.S202302,2023-02-16 05:40,14.01,-89.8,6.0,1.9,  1.9,     ,     ,8,0.28,    ,      ,      ,      , L  ,-,      ,      ,     ,cortical
1459,16-1140-17L.S202302,2023-02-16 05:40,14.01,-89.797,5.5,1.9,  1.9,     ,     ,5,0.28, 146,   2.3,   3.2,  5.6 , L  ,-,      ,      ,     ,cortical
